"Stream","Pack","Functional_Group","count","total_count","relative_abundance","landuse"
"Brown",5,"Shredder",1,25,4,"Forested"
"Brown",12,"Shredder",3,27,11.1111111111111,"Forested"
"Brown",14,"Shredder",4,10,40,"Forested"
"Brown",19,"Shredder",7,20,35,"Forested"
"Brown",21,"Shredder",4,13,30.7692307692308,"Forested"
"Brown",30,"Shredder",21,24,87.5,"Forested"
"Muddy",6,"Shredder",1,85,1.17647058823529,"Urban"
"Muddy",13,"Shredder",1,5,20,"Urban"
"Muddy",20,"Shredder",2,9,22.2222222222222,"Urban"
"Muddy",29,"Shredder",1,6,16.6666666666667,"Urban"
"Potash",3,"Shredder",2,10,20,"Urban"
"Potash",8,"Shredder",1,22,4.54545454545455,"Urban"
"Stevensville",2,"Shredder",3,7,42.8571428571429,"Forested"
"Stevensville",10,"Shredder",20,48,41.6666666666667,"Forested"
"Stevensville",22,"Shredder",1,6,16.6666666666667,"Forested"
"Stevensville",23,"Shredder",9,14,64.2857142857143,"Forested"
"Stevensville",26,"Shredder",16,31,51.6129032258064,"Forested"
"Stevensville",27,"Shredder",14,18,77.7777777777778,"Forested"
"Stevensville",28,"Shredder",10,17,58.8235294117647,"Forested"
"Stevensville",32,"Shredder",5,10,50,"Forested"
